trials_total.thisRepN,trials_total.thisTrialN,trials_total.thisN,trials_total.thisIndex,SubjID,Block,Miniblock,Trial,StimulusType,Word,WordCongruency,Word Orientation,WordPTime,ButtonPress,Accuracy,ButtonPressTime,RT,date,frameRate,expName,session,participant,
0,-1,-1,0,,1,1,1,diagnostic,gear,inc,italic,6.01466000197,none,0,6.59801368974,583.353687776,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,1,2,diagnostic,gear,inc,upright,9.5145213108,none,0,10.0978822268,583.360916004,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,1,3,diagnostic,dirty,cong,italic,13.0144579133,none,0,13.5978001566,583.342243219,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,1,4,diagnostic,dirty,cong,upright,16.5144345723,j,0,16.8312003608,316.765788477,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,1,5,inducer,dirty,none,word,20.0145067037,j,1,20.4309804428,416.473739082,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,1,6,inducer,gear,none,word,23.514330667,j,0,24.0476157921,533.285125159,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,2,1,diagnostic,worry,inc,italic,6.00880545797,none,0,6.59217962553,583.37416756,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,2,2,diagnostic,creek,inc,upright,9.50872278539,none,0,10.0920309958,583.308210364,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,2,3,diagnostic,creek,cong,italic,13.0086867949,none,0,13.5920085581,583.321763203,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,2,4,diagnostic,worry,cong,upright,16.5086318306,none,0,17.0919026951,583.270864561,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,2,5,inducer,worry,none,word,20.008573252,none,0,20.5918537541,583.28050212,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,2,6,inducer,creek,none,word,23.5084704007,none,0,24.0917611427,583.290742012,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,3,1,diagnostic,video,inc,italic,6.00519376551,none,0,6.58849866292,583.304897416,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,3,2,diagnostic,busy,inc,upright,9.50528667797,none,0,10.0884786348,583.191956859,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,3,3,diagnostic,video,cong,italic,13.0050350463,none,0,13.5884330068,583.397960523,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,3,4,diagnostic,busy,cong,upright,16.5050662179,none,0,17.0883527435,583.286525682,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,3,5,inducer,video,none,word,20.0049724018,none,0,20.5883790962,583.406694466,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,3,6,inducer,busy,none,word,23.50496171,none,0,24.0881840854,583.222375484,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,4,1,diagnostic,must,inc,italic,6.00193384569,none,0,6.60186933377,599.935488077,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
0,-1,-1,0,,1,4,2,diagnostic,raised,cong,upright,9.50183641538,none,0,10.1017827459,599.946330534,2018_Oct_22_0930,60.0056203969,Diag Induc,001,,
